City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
10,Namatanai,PG,85.15,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
14,Iranduba,BR,77.32,overcast clouds,-3.2847,-60.1861,Evolução Ecolodge
16,Minbu,MM,75.81,overcast clouds,20.1833,94.8833,Pan Tha Tin Guest House - Burmese Only
17,Maragogi,BR,79.3,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
21,Hobyo,SO,75.52,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
32,Esperance,AU,76.84,few clouds,-33.8667,121.9,Hospitality Esperance
33,Touros,BR,79.7,few clouds,-5.1989,-35.4608,INN NEW HORIZON
34,Kapaa,US,78.78,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
36,Hobart,AU,81.01,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
41,Hambantota,LK,79.14,scattered clouds,6.1241,81.1185,Bungalow 63
44,Bengkulu,ID,81.64,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
45,Port Hedland,AU,82.45,light rain,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
47,Miri,MY,86.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
51,Hithadhoo,MV,82.42,scattered clouds,-0.6,73.0833,Scoop Guest House
52,Port Blair,IN,80.64,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
59,Manaure,CO,76.91,clear sky,11.7751,-72.4445,Hotel Palaaima
62,Vila Velha,BR,78.75,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
63,Lorengau,PG,84.29,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
66,Saint-Philippe,RE,78.35,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
74,Mahebourg,MU,79.25,overcast clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
77,Atuona,PF,78.76,scattered clouds,-9.8,-139.0333,Villa Enata
86,Port Lincoln,AU,79.45,clear sky,-34.7333,135.8667,Port Lincoln Hotel
95,Rikitea,PF,79.02,few clouds,-23.1203,-134.9692,People ThankYou
99,Buala,SB,85.89,light rain,-8.145,159.5921,Maringe Lagoon Lodge
105,Vaini,TO,75.36,moderate rain,-21.2,-175.2,Keleti Beach Resort
108,Jambi,ID,86.43,broken clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
112,Mae Ramat,TH,79.12,scattered clouds,16.984,98.5166,บ้านโฮ่งโฮมสเตย์ แม่ระมาด ตาก
116,Kandrian,PG,88.48,light rain,-6.2167,149.55,Kandrian Station
119,Souillac,MU,79.36,overcast clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
122,Harper,LR,78.75,overcast clouds,4.375,-7.7169,Screensaver
129,Yulara,AU,91.24,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
136,Katherine,AU,88.12,scattered clouds,-14.4667,132.2667,Pine Tree Motel
149,Butaritari,KI,81.66,moderate rain,3.0707,172.7902,Isles Sunset Lodge
151,Kattivakkam,IN,82.49,scattered clouds,13.2167,80.3167,Euronova Freezer
159,Sao Joao Da Barra,BR,75.63,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
168,Georgetown,MY,84.88,few clouds,5.4112,100.3354,Cititel Penang
170,Kanchanaburi,TH,87.12,scattered clouds,14.6333,99.1,แพบุญศรี
174,Isangel,VU,82.51,light rain,-19.55,169.2667,Tanna Lodge
176,Mildura,AU,89.08,scattered clouds,-34.2,142.15,Mercure Hotel Mildura
180,Kualakapuas,ID,77.16,overcast clouds,-3.0091,114.3876,Guest House Izonk
181,Geraldton,AU,77.41,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
189,Faanui,PF,81.07,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
192,Mahajanga,MG,75.22,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
193,Mount Gambier,AU,89.51,clear sky,-37.8333,140.7667,The Commodore
194,Codrington,AU,80.31,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
200,Katobu,ID,88.66,overcast clouds,-4.9408,122.5276,La Ode Husein
201,Vao,NC,81.16,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
205,New Norfolk,AU,81.66,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
213,Carnarvon,AU,78.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
214,Amboasary,MG,76.84,overcast clouds,-25.0333,46.3833,DISCOVERY AMBOASARY
221,Cordeiropolis,BR,75.2,light rain,-22.4819,-47.4567,La Villa Hotel
222,Sola,VU,82.6,light rain,-13.8833,167.55,Leumerus Bungalows
224,Kahului,US,78.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
227,The Valley,AI,77.09,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
228,Bambous Virieux,MU,78.22,overcast clouds,-20.3428,57.7575,Casa Tia Villa
238,Da Lat,VN,76.93,overcast clouds,11.9465,108.4419,Khách Sạn Dragon King I
251,Soyo,AO,75.9,broken clouds,-6.1349,12.3689,Hotel Mpampa
266,Ahuimanu,US,80.31,few clouds,21.4447,-157.8378,Paradise Bay Resort
268,Winneba,GH,81.07,overcast clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
269,Biak,ID,85.53,overcast clouds,-0.9131,122.8766,Penginapan Kim
272,Alofi,NU,82.29,light intensity drizzle,-19.0595,-169.9187,Taloa Heights
274,Sao Jose Da Coroa Grande,BR,79.56,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
280,Sorab,IN,76.71,broken clouds,14.3833,75.1,Soraba Government Guest House
285,Manado,ID,88.57,scattered clouds,1.487,124.8455,Aryaduta Hotel
286,Quelimane,MZ,76.95,broken clouds,-17.8786,36.8883,Hotel Flamingo
287,Acarau,BR,77.63,clear sky,-2.8856,-40.12,castelo pizzaria
290,Belmonte,BR,77.5,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
295,Arraial Do Cabo,BR,75.09,clear sky,-22.9661,-42.0278,Pousada Porto Praia
296,Porto Novo,BJ,75.54,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
298,Kupang,ID,85.44,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
299,Limbang,MY,86.31,overcast clouds,4.75,115.0,Purnama Hotel
304,Bac Lieu,VN,87.53,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
305,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,Mercure Padang
309,Tutoia,BR,82.38,clear sky,-2.7619,-42.2744,Pousada Guará's
311,Bathsheba,BB,77.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
312,Nagari,IN,76.89,broken clouds,13.3333,79.5833,CVR KALYANA MANDAPAM
317,Omboue,GA,76.89,broken clouds,-1.5746,9.2618,Hotel Olako
320,Noumea,NC,78.78,light rain,-22.2763,166.4572,Hôtel Le Lagon
325,Port Keats,AU,88.09,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
346,Meulaboh,ID,79.63,overcast clouds,4.1363,96.1285,Kost Pria
357,Kununurra,AU,89.58,overcast clouds,-15.7667,128.7333,Hotel Kununurra
361,Roura,GF,79.97,broken clouds,4.7263,-52.3274,Amazonie Découverte SARL
366,Bandarbeyla,SO,75.67,overcast clouds,9.4942,50.8122,JABIR HOTEL
369,Honiara,SB,85.26,overcast clouds,-9.4333,159.95,Heritage Park Hotel
373,Whyalla,AU,91.29,broken clouds,-33.0333,137.5833,Foreshore Motor Inn
377,Nisia Floresta,BR,80.98,clear sky,-6.0911,-35.2086,Rancho Crepusculo
378,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
379,Kudahuvadhoo,MV,81.37,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
387,Cockburn Town,TC,75.81,clear sky,21.4612,-71.1419,Osprey Beach Hotel
388,Dubbo,AU,78.93,broken clouds,-32.25,148.6167,Quality Inn Dubbo International
390,Papara,BR,79.68,clear sky,-3.9839,-38.7273,Bela vista Maranguape
391,Olinda,BR,82.13,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
395,Yellandu,IN,76.1,overcast clouds,17.6,80.3333,Chekuri Satyanarayana
408,Koungou,YT,80.31,light rain,-12.7336,45.2042,Villa Netibor
410,Carutapera,BR,75.49,overcast clouds,-1.195,-46.02,Lidera
420,Sokoni,TZ,79.07,light rain,-6.4333,39.55,Ujamaa Beach Resort
421,Saint-Pierre,RE,80.28,clear sky,-21.3393,55.4781,Lindsey Hôtel
422,Buin,CL,75.74,clear sky,-33.7333,-70.75,Paihuen
423,Vaitape,PF,81.05,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
424,Muli,MV,81.52,few clouds,2.9167,73.5667,Medhufushi Island Resort
429,Kavieng,PG,83.73,broken clouds,-2.5744,150.7967,Nusa Island Retreat
431,Cairns,AU,89.29,light rain,-16.9167,145.7667,Mantra Trilogy Cairns
433,Nelson Bay,AU,77.11,light rain,-32.7167,152.15,Mantra Nelson Bay
439,Pangkalanbuun,ID,75.97,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
446,San Andres,CO,78.82,few clouds,12.5847,-81.7006,Hotel Arena Blanca
447,Kloulklubed,PW,84.7,broken clouds,7.0419,134.2556,Storyboard Beach Resort
452,Quatre Cocos,MU,78.1,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
454,Manadhoo,MV,80.82,broken clouds,5.7667,73.3833,Bon Abri maldives
455,Mayumba,GA,76.08,broken clouds,-3.432,10.6554,LIKWALE LODGE
456,Wewak,PG,83.98,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
458,Moindou,NC,78.75,heavy intensity rain,-21.6924,165.677,Equi-lodge de Moindou
462,Takoradi,GH,78.78,overcast clouds,4.8845,-1.7554,Raybow International Hotel
476,Wanning,CN,75.27,broken clouds,18.8003,110.3967,Paradise Hotel
484,Itarema,BR,77.88,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
485,Sorong,ID,83.3,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
488,Dingle,PH,84.38,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
490,Bundaberg,AU,76.21,broken clouds,-24.85,152.35,Takalvan Motel
504,Parrita,CR,80.37,clear sky,9.5201,-84.3225,Beso del Viento
505,Axim,GH,77.72,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
509,Byron Bay,AU,78.87,light rain,-28.65,153.6167,Backpackers Inn
515,Pitimbu,BR,79.39,clear sky,-7.4706,-34.8086,Reserva do Abiaí
521,Tiarei,PF,86.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
523,Lethem,GY,76.91,overcast clouds,3.3803,-59.7968,Savannah Inn
526,Tubuala,PA,77.11,clear sky,9.5167,-79.0333,Río Nabagana
536,Tecoanapa,MX,77.72,scattered clouds,16.5167,-98.75,Hotel Manglares
541,Mumford,GH,78.93,broken clouds,5.2618,-0.759,Spanish Villa
545,Totness,SR,77.36,light rain,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
556,Sinnamary,GF,76.75,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
557,Auki,SB,83.77,overcast clouds,-8.7676,160.7034,Auki Motel
559,Ouidah,BJ,77.22,broken clouds,6.3631,2.0851,Djegba Hotel
560,Nabire,ID,83.01,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
570,Conde,BR,78.26,few clouds,-7.2597,-34.9075,Pousada Beija Flor
571,Ambilobe,MG,75.61,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
573,Gizo,SB,85.44,overcast clouds,-8.103,156.8419,Imagination Island
574,Anloga,GH,79.02,overcast clouds,5.7947,0.8973,Pin Drop Hotel
585,Turan,VN,82.38,few clouds,16.0678,108.2208,Sun River Hotel
587,Puerto Escondido,MX,75.63,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
588,Le Port,RE,80.6,overcast clouds,-20.9373,55.2919,KORBEY D'OR OUEST
593,Hervey Bay,AU,76.03,light rain,-25.2986,152.8535,Shelly Bay Resort
599,Alyangula,AU,87.67,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
600,Neiafu,TO,77.68,overcast clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
601,Kampot,KH,84.25,overcast clouds,10.6167,104.1833,Two Moons Hotel
606,Bitung,ID,88.65,overcast clouds,1.4451,125.1824,K2 Lembeh
607,Caravelas,BR,75.47,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
612,Natitingou,BJ,75.25,clear sky,10.3042,1.3796,Auberge Centrale
619,Kapit,MY,75.87,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
621,Atambua,ID,84.07,scattered clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
623,Vanimo,PG,82.51,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
627,Mucurapo,TT,79.12,broken clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
629,Kirakira,SB,85.64,overcast clouds,-10.4544,161.9205,SanBiz Lodge
639,Amahai,ID,86.18,broken clouds,-3.3333,128.9167,HOTEL ISABELA
652,San Pedro,PH,85.23,broken clouds,14.35,121.0167,Villa Veronica Resort Private Pool
659,Yarada,IN,77.32,haze,17.65,83.2667,Yarada Jungle Beach Resorts
662,Antalaha,MG,78.13,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
677,Bubaque,GW,76.21,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
678,Aden,YE,76.75,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
693,Sijunjung,ID,82.4,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
700,Banjar,ID,87.66,overcast clouds,-8.19,114.9675,The Hamsa Resort
706,Ternate,ID,82.71,light rain,0.8,127.4,Sahid Bela Ternate Hotel
711,Pedernales,DO,75.2,few clouds,18.0384,-71.744,Hotel Costa Marina
713,Oistins,BB,77.09,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
720,Kathu,TH,89.62,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
724,Qiongshan,CN,76.98,broken clouds,20.0058,110.3542,Sun City Restaurant
728,Kavaratti,IN,77.86,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
